step,analysis_kind,analysis_mode,channel,warning,stderr
dda_inv,DDA,ssa+inv,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_q.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,single,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_ntscd_icfg_ir.stderr.log
